"If you know any servers that arent on this list you can msg me on discord @cyg#0692 or reply to the TFTV thread Last updated: 12/20/23 Name TF2Center","This list was built on top of Bilbert's outdated pug list Link  https://tf2center.com/","Status Active","Thanks to Bilbert, Czarchasm, Sagejay, Rahmed, Heks, Zoro, Maxx, Frydog, DolphiN, and Shr Date Founded ?/?/2013","Game Modes 6s, HL, Ultiduo","Region NA/EU","TFTV thread: https://www.teamfortress.tv/63226/the-definitive-list-of-tf2-pug-servers#1 Notes ","RGL thread: https://forums.rgl.gg/topic/3146/the-definitive-list-of-tf2-pug-servers Frequency (estimate) Runs Multiple Times Daily","","","","","","","","",""
"FROGPugs AU/NZ","https://discord.gg/hPUecg9thy","Active","5/11/2020","HL","Australia","","Runs Almost Daily","","","","","","","","",""
"Kachow Pugs","","Inactive","8/29/2020","6s","Australia","Msg me with correct link if you have it","격일로 실행??? (Runs Every Other Day???)","","","","","","","","",""
"대충 여러 서버 돌리는 디코 ","","Active","7/26/2020","6s, HL","Asia","Msg me with correct link if you have it","???","","","","","","","","",""
"Summer Camp Pugs","https://discord.gg/NbSBA75qan","Active","","6s","Asia","Must be above div 3, summer teaching sessions.","Runs Monthly","","","","","","","","",""
"Potato Mixes/Pugs","https://discord.gg/aQ4bdwW3qE","Active","","6s","Asia","Runs pugs and mixes","Runs Twice a Week","","","","","","","","",""
"ATF2L","https://discord.gg/sA68jQuXzK","Active","","6s, HL","Asia","","Runs Multiple Times Daily???","Messaged them, come back later","","","","","","","",""
"The Cocohut","https://discord.gg/2Ay8nQKEzc","Active","","6s","Asia","Uses Pughub","","On this one <","","","","","","","",""
"tf2pickup.ru","","Active","","6s","Russia","","Runs Multiple Times Daily","","","","","","","","",""
"hl.br.tf2pickup.org","hl.br.tf2pickup.org","Active","","HL","Brazil","","Runs Daily","","","","","","","","",""
"ultiduo.tf2pickup.eu","ultiduo.tf2pickup.eu","Active","","Ultiduo","Europe","","Runs Monthly","","","","","","","","",""
"tf2pickup.se","tf2pickup.se","Inactive","","6s","EU (Sweden)","","Runs every 6 months","","","","","","","","",""
"tf2pickup.pt","tf2pickup.pt","Inactive","","6s","SA (Portugal)","","Runs every couple months","","","","","","","","",""
"tf2pickup.co.il","tf2pickup.co.il","Inactive","","6s","Israel","","Runs every couple months","","","","","","","","",""
"VIP Pugs","???","???","11/19/2022","","Australia","","","","","","","","","","",""
"Nut Pugs","???","???","6/4/2022","","Australia","","Runs Every Other Day?","","","","","","","","",""
"Inter/Prem AUS Pugs","","???","5/26/2023","6s","Australia","Msg me with correct link if you have it","Runs Every Sunday???","","","","","","","","",""
"???","???","???","","???","???","Msg me with correct link if you have it","","","","","","","","","",""
"Asia Passtime Pugs","???","???","","???","???","Msg me with correct link if you have it","","","","","","","","","",""
"Sweaty Pugs","???","???","","???","","Created by the Sweaty Sphagetti Team. Occasionally used the amongus voice plugin","","","","","","","","","",""
"Coca Cola Pugs","???","???","","6s","","Msg me with correct link if you have it","Runs every two weeks???","","","","","","","","",""
"Bezel Pugs","","Dead","","6s","NA","adv-inv","","","","","","","","","",""
"Stig Pugs","https://discord.gg/KnmGqm7gmM","Dead","9/15/2022","???","Australia","","","","","","","","","","",""
"Thug-pugs","https://discord.gg/pQykPazF","Dead","2/27/2023","","","","","","","","","","","","",""
"Shanapugs","https://steamcommunity.com/groups/shanapugs","Dead","12/6/2014","","","","","","","","","","","","",""
"4s Pugs","https://steamcommunity.com/groups/4v4pugs","Dead","11/22/2015","4s","","","","","","","","","","","",""
"Asiafortress Pickup Games","https://steamcommunity.com/groups/asiafortresspickupgames","Dead","4/17/2015","","","","","","","","","","","","",""
"Pug-Fest","https://steamcommunity.com/groups/PugFest","Dead","10/3/2015","","","","","","","","","","","","",""
"Na 6s pugs","https://steamcommunity.com/groups/NA6SPUGS","Dead","1/24/2016","","","","","","","","","","","","",""
"Smoothie Pugs","http://steamcommunity.com/groups/SmoothiePUGs","Dead","1/24/2016","","","","","","","","","","","","",""
"Power Pugs","https://steamcommunity.com/groups/Pwrpugs","Dead","9/24/2012","","","","","","","","","","","","",""
"Pineapple Pugs","https://steamcommunity.com/groups/pineapplepugs","Dead","2/1/2016","","","","","","","","","","","","",""
"TF Pickups","https://steamcommunity.com/groups/tfpickups","Dead","2/13/2016","","","","","","","","","","","","",""
"Casper Pugs","https://steamcommunity.com/groups/CPUGS","Dead","3/5/2016","","","","","","","","","","","","",""
"Arcadia Pugs","https://steamcommunity.com/groups/arcadiapugs","Dead","2/12/2016","","","","","","","","","","","","",""
"Sandbox Pugs","https://steamcommunity.com/groups/SandboxPugs","Dead","6/12/2016","","","","","","","","","","","","",""
"New map Pugs","https://steamcommunity.com/groups/NMPugs","Dead","8/2/2016","","","","","","","","","","","","",""
"Kritz Pugs","https://steamcommunity.com/groups/KritzPUGs","Dead","8/17/2016","","","","","","","","","","","","",""
"pug.tf","https://steamcommunity.com/groups/pugtf","Dead","9/20/2016","","","","","","","","","","","","",""
"tf2pickup","https://tf2pickup.net/","Dead","2/1/2013","","","","","","","","","","","","",""
"Newbie Mix Pugs v2","https://steamcommunity.com/groups/newbie6v6pug","Dead","10/4/2014","","","","","","","","","","","","",""
"Iron Pugs","https://steamcommunity.com/groups/IronPugs","Dead","5/15/2015","","","","","","","","","","","","",""
"Pugs All Night","https://steamcommunity.com/groups/PugAllNight","Dead","8/30/2015","","","","","","","","","","","","",""
"Panda Pugs","https://steamcommunity.com/groups/pandapugs","Dead","9/13/2015","","","","","","","","","","","","",""
"Solid Name Solid Game Pugs","https://steamcommunity.com/groups/SolidPugs","Dead","3/1/2016","","","","","","","","","","","","",""
"Critfail pug","https://steamcommunity.com/groups/critfail","Dead","7/2/2012","","","","","","","","","","","","",""
"Nasty-pugs","https://steamcommunity.com/groups/NastyPugs","Dead","8/14/2014","","","","","","","","","","","","",""
"Party Pugs","https://steamcommunity.com/groups/PartyPug","Dead","9/6/2014","","","","","","","","","","","","",""
"Luminosity Pugs","https://steamcommunity.com/groups/LuminosityPugs","Dead","10/10/2014","","","","","","","","","","","","",""
"Arena Respawn","https://steamcommunity.com/groups/ArenaRespawn","Dead","9/16/2014","","","","","","","","","","","","",""
"Brazen Pugs","https://steamcommunity.com/groups/brazenpugs","Dead","1/5/2015","","","","","","","","","","","","",""
"Tf2pug.me","http://www.tf2pug.me/","Dead","2/12/2015","","","","","","","","","","","","",""
"New New Map Pugs","https://steamcommunity.com/groups/newmappugss","Dead","6/16/2015","","","","","","","","","","","","",""
"Minion Pugs","https://steamcommunity.com/groups/newmappugs","Dead","7/31/2015","","","","","","","","","","","","",""
"Yeag Pugs","https://steamcommunity.com/groups/yeagtf2pugs","Dead","9/2/2015","","","","","","","","","","","","",""
"Fullout Pugs","https://steamcommunity.com/groups/fpugstf2","Dead","9/6/2015","","","","","","","","","","","","",""
"Pastime Pass Time","https://steamcommunity.com/groups/pastimepasstime","Dead","9/12/2015","","","","","","","","","","","","",""
"Please to be Enjoying SimPUGS","https://steamcommunity.com/groups/pleaasetobeenjoyingsimp","Dead","10/3/2015","","","","","","","","","","","","",""
"Keylimes Pug Group","https://steamcommunity.com/groups/KeyPugs","Dead","10/24/2015","","","","","","","","","","","","",""
"Bobby Basketball Pugs","https://discord.gg/gaGs54v3Rr","Dead","9/18/2017","","","","","","","","","","","","",""
"Tf2pl.com","http://tf2pl.com/","Dead","","","","","","","","","","","","","",""
"XD Pugs","http://o5tf2.murmur.nfoservers.com/","Dead","","","","","","","","","","","","","",""
"The Way Pugs","https://discord.gg/AwT3Yxt (invalid)","Dead","","","","","","","","","","","","","",""
"Frag Academy","https://discord.gg/8usEuPk (invalid)","Dead","","","","","","","","","","","","","",""
"Dump Pugs","https://discord.gg/sR49zHE (invalid)","Dead","","","","","","","","","","","","","",""
"Impro Pugs","https://discord.gg/e8zachN (invalid)","Dead","","","","","","","","","","","","","",""
"Na.mix.champ.gg","https://steamcommunity.com/linkfilter/?url=https://na.mix.champ.gg//","Dead","","","","","","","","","","","","","",""
"na.pug.champ.gg","https://steamcommunity.com/linkfilter/?url=https://na.mix.champ.gg/","Dead","1/22/2016","","","","","","","","","","","","",""
"tf2stadium.com","https://www.tf2stadium.com/","Dead","","","","","","","","","","","","","",""
"tf2stadium.com","https://www.tf2stadium.com/","Dead","","","","","","","","","","","","","",""
"Tokyopill-pugs","https://discord.gg/BAAdzaa6wm","Dead","","","","","","","","","","","","","",""
"Skankstros Hl Pugs","https://steamcommunity.com/groups/skankspug","Dead","11/11/2015","","","","","","","","","","","","",""
"RGL Prolander Pugs","https://steamcommunity.com/groups/RGLggLobbies","Dead","","","","","","","","","","","","","",""
"Comp HL Pugs","https://steamcommunity.com/groups/CompHLPugs","Dead","","","","","","","","","","","","","",""
"Power Pugs HL","https://steamcommunity.com/groups/pwrhl","Dead","9/1/2015","","","","","","","","","","","","",""
"HLPugsTF","https://steamcommunity.com/groups/HLPugsTF","Dead","","","","","","","","","","","","","",""
"Shadow Wizard Pugs","https://discord.gg/fDHymx3u4q","Dead","","6s","","","","","","","","","","","",""
":3 Pugs","https://discord.gg/7QVHgzHsvP (deleted server)","Dead","3/10/2023","","NA","","","","","","","","","","",""
"tf2pickup.si","http://tf2pickup.si/","Dead","","6s","Russia","","","","","","","","","","",""
"Nietono no Shana PUGs","https://steamcommunity.com/groups/shanapugs","Dead","12/6/2014","6s, HL","","","","","","","","","","","",""
"Unity Pugs","https://steamcommunity.com/groups/unpugs","Dead","10/24/2015","6s, Ultiduo, Bball","","","","","","","","","","","",""
"Wxy Pugs","http://steamcommunity.com/groups/wxypugs","Dead","11/1/2015","","","","","","","","","","","","",""
"Extreme PUGs","http://steamcommunity.com/groups/xttf2pugs","Dead","11/14/2015","","","","","","","","","","","","",""
"Katies Pugs","http://steamcommunity.com/groups/katiepugs","Dead","11/14/2015","","","","","","","","","","","","",""
"Pont's Pugs","http://steamcommunity.com/groups/pontspugs","Dead","11/21/2015","","","","","","","","","","","","",""
"Gold-IM Pugs","http://steamcommunity.com/groups/GIPGold-IM","Dead","11/29/2015","","","","","","","","","","","","",""
"MarmaPugs","http://steamcommunity.com/groups/MarmaPugs","Dead","12/12/2015","","","","","","","","","","","","",""
"MultiPugs","http://steamcommunity.com/groups/multipugs","Dead","1/9/2016","","","","","","","","","","","","",""
"Daddy Spank Me PUGs","http://steamcommunity.com/groups/daddyspankme","Dead","2/10/2016","6s","","","","","","","","","","","",""
"woofPugs","http://steamcommunity.com/groups/woofPugs","Dead","2/17/2015","","","","","","","","","","","","",""
"BGA","https://discord.gg/NMUYsK6","Dead","5/3/2020","","","","","","","","","","","","",""
"Little Guys","???","Dead","2/1/2020","","","Nuked after a rogue admin gave young man admin perms -sagejay","","","","","","","","","",""
"Tomato Pugs","???","Dead","","","","","","","","","","","","","",""
"Emerald Pugs","???","Dead","","","","","","","","","","","","","",""
"Platy Pugs","???","Dead","","","","","","","","","","","","","",""
"Hoboleague","https://discord.gg/4gpH739T2z","Dead","","","","Allowed banned players","","","","","","","","","",""
"Omar Pugs","Invite Only","Dead","","","","","","","","","","","","","",""
"Mushroom Mann Pugs","??? ","Dead","","???","???","Owned by MushroomMann","","","","","","","","","",""
"Pass time Pass Time Pugs","https://discord.gg/qDpWPAgHEQ","Dead","8/4/21","???","???","","","","","","","","","","",""
"scientist pugs","???","Dead","","???","???","owned by Miperton","","","","","","","","","",""
"Gem Pugs","https://discord.gg/etewuHk","Dead","","???","???","Died back in 2020; owned by Gem","","","","","","","","","",""
"Deafened pugs","???","Dead","","???","???","Owned by Deafened","","","","","","","","","",""
"testco.tf","???","Dead","","6s","???","owned by Muddy, ran experimental maps","","","","","","","","","",""
"TF2Maps Competitive"," https://discord.gg/EPQR4T6YgP","Dead","","6s","???","sweglord227 is admin, unknown owner. Ran experimental maps","","","","","","","","","",""
"kitten pugs","???","Dead","","???","???","owned by cron, killed after drama","","","","","","","","","",""
"Resurrection Pugs","???","Dead","","???","???","Owned by rainbow","","","","","","","","","",""
"Ice Cream Pugs","???","Dead","","???","???","owned by ooga booga","","","","","","","","","",""
"LeCrumble Pugs","???","Dead","","???","???","owned by LeCrum","","","","","","","","","",""
"realistic_worm pugs","???","Dead","","Passtime","???","owned by the smoke","","","","","","","","","",""
"HLMixes","https://discord.gg/kudjAXD","Dead","","HL","???","owned by NikolaNido","","","","","","","","","",""
"Ultiduo City Pugs","https://discord.gg/duRxjaufPA","Dead","","Ultiduo","???","owned by Cloud","","","","","","","","","",""
"The Spooky Orchestra","https://discord.gg/fbaFu8DzMd","Dead","","???","???","owned by Des1","","","","","","","","","",""
"Summit Ultiduo","https://discord.gg/GMgQ8cVQJz","Dead","","???","???","owned by Adwill","","","","","","","","","",""
"Red Pugs","https://discord.gg/78cw3sGgbY","Dead","","HL","???","owned by Davidredface","","","","","","","","","",""
"hl.tf2pickup.pl","https://hl.tf2pickup.pl/","Dead","","HL","EU (Poland)","","","","","","","","","","",""
"sib.tf2pickup.ru","sib.tf2pickup.ru","Dead","","???","Siberia","","","","","","","","","","",""
"tf2pickup.fr","tf2pickup.fr","Dead","","???","France","","","","","","","","","","",""
"yu.tf2pickup.eu","yu.tf2pickup.eu","Dead","","???","Europe","","","","","","","","","","",""
"tf2pickup.web.tr","tf2pickup.web.tr","Dead","","???","???","","","","","","","","","","",""
"tf2pickup.nl","tf2pickup.nl","Dead","","???","???","","","","","","","","","","",""
"tf2pickup.us","tf2pickup.us","Dead","","???","???","","","","","","","","","","",""
"tf2pickup.ro","tf2pickup.ro","Dead","","???","???","","","","","","","","","","",""
"hl.tf2pickup.ru","hl.tf2pickup.ru","Dead","","???","???","","","","","","","","","","",""
"Patchy Pugs","https://discord.gg/SkX9827nvq","Dead","08/22/2020","6s","NA","Owned by DannyHollow and Blazedfaux","","","","","","","","","",""
"sib.tf2pickup.ru","sib.tf2pickup.ru","Dead","","???","Siberia","","","","","","","","","","",""
"tf2pickup.fr","tf2pickup.fr","Dead","","???","France","","","","","","","","","","",""
"yu.tf2pickup.eu","yu.tf2pickup.eu","Dead","","???","Europe","","","","","","","","","","",""
"tf2pickup.web.tr","tf2pickup.web.tr","Dead","","???","???","","","","","","","","","","",""
"tf2pickup.nl","tf2pickup.nl","Dead","","???","???","","","","","","","","","","",""
"tf2pickup.us","tf2pickup.us","Dead","","???","???","","","","","","","","","","",""
"tf2pickup.ro","tf2pickup.ro","Dead","","???","???","","","","","","","","","","",""
"hl.tf2pickup.ru","hl.tf2pickup.ru","Dead","","???","???","","","","","","","","","","",""
"Patchy Pugs","https://discord.gg/SkX9827nvq","Dead","08/22/2020","6s","NA","Owned by DannyHollow and Blazedfaux","","","","","","","","","",""
"PURE Pugs","https://discord.gg/JbrBjKz","Dead","","","Asia","","","","","","","","","","",""
"Dr Pepper Pugs","??? ","Dead","","6s","NA","Owned by RainOfLight","","","","","","","","","",""
"Zoro Pugs","Deleted","Dead","6/22/2022","","NA","Deleted after TF2CC got multiple div pugs","","","","","","","","","",""
"groups to add:","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/newmapweekends","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/PWRPR","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/PUGTF2CL","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/oceanicpugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/SurrealGamingTF2Pugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/justplaytfpugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tcm_byte","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/TF2SA_Servers","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/jokwanghl","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2fpugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/raztf2pug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2gatherus","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/asiapughl","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/scumpugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/EUTF2PUGCHAMP","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/freepug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2scrimau","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/DRAAAAAAMAAA","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/dutf2pugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/highlanderorPug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/TF2kouhakurmm","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/RoyalPugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/cpkothpugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/LLPUG","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/austf2center","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/mefortresspug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/aopugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/pugwatchtf2","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/PUG69","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/greenyhighlanderpugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/TF2PHComp","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/PuggzPugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/CammunistPugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/rogueandryguypugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/blazepugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/RedditTF2L","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/TF2ggbeta","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/PickPugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/dedpug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/TTCTW","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/UGC-PUG","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/mixnahl","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/mixeuhl","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2pugg","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/commiepug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/greaverspugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2pugbr","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/eseatf2pug","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/atrophynopropugs","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/TF2PUG","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/ntdp","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2pugnahl","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/tf2mix","","","","","","","","","","","","","","","",""
"https://steamcommunity.com/groups/eseatf2","","","","","","","","","","","","","","","",""
